UserAgent,Parent,Browser,Version,MajorVersion,MinorVersion,Platform,AuthenticodeUpdate,CSSVersion,Frames,IFrames,Tables,Cookies,BackgroundSounds,VBScript,JavaScript,JavaApplets,ActiveXControls,CDF,AOL,Beta,Win16,Crawler,Stripper,WAP,NetCLR
[Mozilla/5.0 (Windows; ?; Win 9x 4.90; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win3.11; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,Win16,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win95; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,Win95,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win98; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.0; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Windows NT 5.1; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; WinNT4.0; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; ?; FreeBSD i386; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,FreeBSD,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (X11; ?; Linux i?86; *; rv:1.1*) Gecko/????????],Mozilla 1.1,,,,,Linux,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla 1.2],Mozilla 1.2,Mozilla,1.2,1,2,,,2,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false
[Mozilla/5.0 (Macintosh; ?; 68K; *; rv:1.2*) Gecko/????????],Mozilla 1.2,,,,,Mac68K,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Macintosh; ?; PPC Mac OS X; *; rv:1.2*) Gecko/????????],Mozilla 1.2,,,,,MacOSX,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Macintosh; ?; PPC; *; rv:1.2*) Gecko/????????],Mozilla 1.2,,,,,MacPPC,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win 9x 4.90; *; rv:1.2*) Gecko/????????],Mozilla 1.2,,,,,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/5.0 (Windows; ?; Win3.11; *; rv:1.2*) Gecko/????????],Mozilla 1.2,,,,,Win16,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
